Study,SIN3B 201,SIN3B 209,SIN3B 202,SIN3B 208,SIN3B 206
GTEX,71.12,4.56,0,3.18,1.06
GTEX,67.25,3.54,11.8,1.42,2.62
GTEX,63.57,1.85,2.24,4.63,4.66
GTEX,62.69,2.65,10.63,3.09,3.8
GTEX,58.91,1.86,4.19,4.95,6.32
GTEX,56.91,2.2,1.88,4.37,9.18
GTEX,55.84,2.02,1.5,5.09,8.61
GTEX,55.24,4.11,5.48,2.29,3.5
GTEX,54.75,4.24,3.69,5.16,5.41
GTEX,54.18,23.37,7.64,3.54,3.17
GTEX,53.87,2.2,0,4.64,7.05
GTEX,53.63,2.84,2.59,5.2,7.83
GTEX,53.55,2.63,2.94,5.78,8.68
GTEX,53.51,2.32,1.24,2.28,3.38
GTEX,53.12,3.54,4.28,4.85,7.03
GTEX,52.21,2.06,7.88,4.55,7.61
GTEX,50.82,1.52,6.3,6.12,9.76
GTEX,50.35,2.74,1.69,6.14,8.04
GTEX,50,2.63,4.1,3.11,7.82
GTEX,49.5,4.35,11.18,4.26,4.86
GTEX,49.43,1.48,2.52,3.92,10.45
GTEX,49.14,2.52,1.23,6.68,9.44
GTEX,49.13,0.81,2.19,4.71,10.81
GTEX,48.63,1.7,5.6,4.31,12.05
GTEX,48.19,1.2,0,6.49,9.57
GTEX,47.74,1.76,2.47,7.63,11.82
GTEX,47.55,2.55,0,7.43,11.33
GTEX,47.4,2.25,5.1,8.1,8.92
GTEX,47.24,3.66,1.14,7.18,10.94
GTEX,46.42,1.31,1.28,11.24,12.34
GTEX,46.37,2.11,1.99,7.22,13.5
GTEX,46.36,5.73,0,6.52,12.48
GTEX,46.15,2.47,3.45,8.53,9.72
GTEX,46.04,3.38,2.45,11.2,14.26
GTEX,45.93,2.03,5.59,7.16,14.86
GTEX,45.88,2.51,4.6,10.07,10.7
GTEX,45.84,2.61,6.86,6.63,6.89
GTEX,45.83,2.04,1.39,4.97,9.48
GTEX,45.79,1.91,0,12.25,10.3
GTEX,45.61,3.92,7.44,7.12,7.34
GTEX,45.52,2.48,4.47,5.43,10.05
GTEX,45.47,3.69,5.05,10.35,12.23
GTEX,45.43,1.51,0,10.05,13.86
GTEX,45.26,4.9,2.58,8.77,10.77
GTEX,45.12,2.53,2.45,8.73,8.18
GTEX,45.05,5.78,11.36,6.87,6.26
GTEX,44.99,1.6,2.4,8.89,13
GTEX,44.9,0.75,5.38,8.34,11.56
GTEX,44.86,3.09,7.06,7.15,9.11
GTEX,44.83,1.06,0.97,5.2,9.42
GTEX,44.82,1.71,5.95,6.8,13.29
GTEX,44.55,2.77,8.24,3.36,5.13
GTEX,44.41,1.74,4.19,9.4,13.22
GTEX,44.32,2.71,0.85,10.46,13.03
GTEX,44.3,1.09,6.08,10.44,10.78
GTEX,44.07,2.2,4.99,7.76,8.78
GTEX,43.93,1.95,1.62,6.75,10.09
GTEX,43.84,1.76,3.12,5.41,10.87
GTEX,43.81,2.28,7.63,8.76,11.22
GTEX,43.6,1.28,5.32,5.56,12.89
GTEX,43.5,2.47,7.9,7.65,12.43
GTEX,43.43,2.26,2.83,6.74,13.07
GTEX,43.18,3.22,3.48,5.96,7.67
GTEX,43.02,1.55,3.36,8.32,12.89
GTEX,42.96,0.95,3.58,7.33,13.35
GTEX,42.87,0.79,5.41,10.22,13.29
GTEX,42.75,4.12,3.49,10.39,9.21
GTEX,42.56,4.86,4.84,6.95,11.21
GTEX,42.53,1.15,5.02,8.44,9.61
GTEX,42.51,1.17,2.68,9.3,11.75
GTEX,42.5,7.68,14.2,1.46,4.37
GTEX,42.43,3,2.84,12.68,11.37
GTEX,42.41,1.91,3.47,8.65,8.16
GTEX,42.34,2.24,5.53,7.66,12.94
GTEX,42.3,2.87,3.52,7.6,12.18
GTEX,42.24,1.14,5.54,4.83,7.94
GTEX,42.23,9.21,15.72,4.29,3.42
GTEX,42.22,1.65,1.51,9.91,12.17
GTEX,42.08,1.71,1.78,9,11.91
GTEX,42.05,0.68,5.93,7.44,12.66
GTEX,42.02,1.44,6.63,10.04,13.65
GTEX,42,3.39,8.17,8.14,12.04
GTEX,41.92,2.66,3.41,7.02,12.41
GTEX,41.87,3.4,8.36,5.38,8.32
GTEX,41.87,2.66,9.92,8,10.25
GTEX,41.87,2.13,6.06,6.78,10.57
GTEX,41.83,2.05,3.33,9.02,9.46
GTEX,41.72,3.84,17.93,4.03,5.72
GTEX,41.61,2.34,7.22,6.53,11.19
GTEX,41.56,3.16,3.73,11.02,9.99
GTEX,41.46,1.37,6.43,8.73,11.61
GTEX,41.33,1.5,2.5,9.45,16.07
GTEX,41.32,0.91,3.17,8.09,14.52
GTEX,41.29,4.11,8.22,7.74,8.34
GTEX,41.27,1.84,5.25,8.94,11.5
GTEX,41.24,1.92,4.54,7.5,12.93
GTEX,41.21,2.25,4.61,8.74,9.1
GTEX,41.05,3.82,0.85,9.83,8.53
GTEX,40.9,2.77,1.83,9.65,14.7
GTEX,40.85,1.77,0,10.6,14.86
GTEX,40.79,1.4,4.71,9.93,11.49
GTEX,40.77,1.71,8.08,7.95,6.51
GTEX,40.77,1.35,5.76,10.94,9.62
GTEX,40.74,4.13,3.65,8.47,12.62
GTEX,40.71,1.2,2.35,12.59,14.52
GTEX,40.63,1.86,7.18,7.43,10.89
GTEX,40.62,1.3,4.85,9.98,10.94
GTEX,40.53,2.18,3.76,7.99,8.73
GTEX,40.48,2.67,0.21,9.8,13.14
GTEX,40.46,6.27,10.42,4.85,5.32
GTEX,40.45,3.14,6.57,12.56,7.97
GTEX,40.41,2.04,0.9,11.76,13.11
GTEX,40.39,2.42,3.29,10.68,11.91
GTEX,40.38,1.58,1.62,11.02,12.34
GTEX,40.37,2.94,3.23,8.19,12.75
GTEX,40.37,1.02,6.94,8.12,13.34
GTEX,40.31,2.4,6.23,8.26,12.77
GTEX,40.25,1.91,2.32,9.86,14.1
GTEX,40.25,1.58,7.54,10.99,11.41
GTEX,40.23,2.41,3.52,10.02,13.44
GTEX,40.21,2.55,1.12,10.78,14.91
GTEX,40.12,1.63,3.08,11.71,12.34
GTEX,40.11,2.19,3.7,7,10.31
GTEX,40.1,1.74,2.11,8.14,9.66
GTEX,40.06,1.46,4.23,9.7,12.53
GTEX,40,2.59,6.35,11.17,13.24
GTEX,39.98,2.79,10.15,7.38,8.35
GTEX,39.96,1.62,4.5,8.24,11.07
GTEX,39.92,2.26,5.29,10.17,11.75
GTEX,39.9,2.23,1.2,9.13,12.04
GTEX,39.89,1.73,7.73,10.45,13.57
GTEX,39.85,3.63,1.77,11.38,9.36
GTEX,39.83,1.84,7.46,5.77,8.12
GTEX,39.8,6.02,4.58,10.24,10.93
GTEX,39.77,1.77,1.76,14.73,13.6
GTEX,39.69,1.96,0,8.88,11.82
GTEX,39.63,7.07,15.09,4.66,7.42
GTEX,39.62,1.39,3.63,11.92,13.2
GTEX,39.59,3.63,2.98,8.29,12.4
GTEX,39.55,1.59,8.49,8.58,11.96
GTEX,39.49,8.6,14.33,6.36,3.23
GTEX,39.43,2.33,6.43,14.34,11.79
GTEX,39.41,1.94,2.33,10.64,15.2
GTEX,39.39,2.47,6.55,11.18,11
GTEX,39.39,1.73,0,13.22,15.17
GTEX,39.38,2.63,3.1,9.19,9.5
GTEX,39.31,1.84,5.31,8.96,8.86
GTEX,39.3,1.5,4.05,6.61,12.25
GTEX,39.21,1.19,7.7,9.86,11.2
GTEX,39.2,1.65,3.7,11.74,14.3
GTEX,39.11,1.65,3.67,9.03,10.11
GTEX,39.1,1.48,10.73,7.59,8.77
GTEX,39,2.46,4.32,12.09,13.59
GTEX,39,2.25,3.66,10,12.78
GTEX,38.96,2.56,10.8,7.72,7.63
GTEX,38.95,1.38,5.58,9.17,14.17
GTEX,38.82,3.27,12.68,7.29,10.68
GTEX,38.79,2.14,4.97,11.24,13.28
GTEX,38.76,4.93,7.81,9.69,12.41
GTEX,38.76,1,3.54,8.55,10.11
GTEX,38.72,2.56,8.44,6.44,10.15
GTEX,38.71,1.86,8.59,10.47,10.2
GTEX,38.7,2.34,5.83,8.63,13.44
GTEX,38.62,2.33,3.62,9.84,10.59
GTEX,38.55,0.98,6.39,9.82,13.19
GTEX,38.54,2.24,4.2,8.78,10.09
GTEX,38.54,2.05,1.81,9.88,13.06
GTEX,38.52,2.52,8.94,7.5,12.31
GTEX,38.42,3.71,14.01,7.76,12.18
GTEX,38.42,1.94,5.12,9.68,12.87
GTEX,38.38,1.82,7.32,10.58,11.01
GTEX,38.34,1.28,3.76,8.23,14.52
GTEX,38.31,4.36,10.8,9.2,10.26
GTEX,38.3,1.43,5.44,7.91,10.63
GTEX,38.29,2.31,8.83,8.27,10.95
GTEX,38.27,2.92,5.41,12.72,16.61
GTEX,38.22,2.82,8.66,6.97,8.89
GTEX,38.2,1.17,2.45,12.48,16.74
GTEX,38.18,2.45,3.53,11.65,12.54
GTEX,38.16,2.15,7.64,6.39,10.06
GTEX,38.13,0.58,5.61,13.8,14.51
GTEX,38.12,1.73,2.83,9.86,11.84
GTEX,38.11,4.64,9.02,12.17,12.75
GTEX,38.11,1.5,1.78,11.2,13.79
GTEX,38.05,1.44,6.6,11.95,13.84
GTEX,38.03,2.12,4.1,10.84,11.49
GTEX,38.02,1.78,4.55,6.93,11.49
GTEX,38.02,1.55,2.25,11.42,11.68
GTEX,38.01,1.94,3.78,12.01,18.13
GTEX,37.98,1.02,2.56,11.74,13.03
GTEX,37.92,2.05,3.18,11.17,11.42
GTEX,37.9,2.38,3.67,15.34,15.77
GTEX,37.89,4.22,5.81,8.31,9.45
GTEX,37.85,1.88,4.24,11.81,12.49
GTEX,37.83,1.05,2.46,9.71,13.78
GTEX,37.82,2.91,6.29,11.06,12.14
GTEX,37.77,4.08,8.8,9.23,11.14
GTEX,37.77,2.69,6.08,9.48,12.07
GTEX,37.66,1.69,4.81,8.23,12.46
GTEX,37.65,1.52,3.78,9.1,12.71
GTEX,37.65,1.27,6.04,8.34,14.12
GTEX,37.62,1.89,4.19,9.49,15.73
GTEX,37.57,1.47,4.82,11.88,11.01
GTEX,37.52,2.48,6.74,10.92,11.33
GTEX,37.51,3.13,9.35,14.04,14.33
GTEX,37.5,1.55,6.11,8.14,11.06
GTEX,37.46,1.95,7.26,10.73,13.65
GTEX,37.44,0.87,4.1,13.15,15.88
GTEX,37.42,1.91,1.99,8.15,15.41
GTEX,37.38,1.88,2.97,10.34,11.58
GTEX,37.37,2.94,4.55,13.88,11.76
GTEX,37.37,1.83,4.15,8.33,13.11
GTEX,37.18,2.17,5.08,11.11,13.25
GTEX,37.08,9.07,0,5.4,4.38
GTEX,37.08,2.15,8.11,9.84,14.55
GTEX,37.08,1.17,3.94,9.14,11.09
GTEX,37,2.77,6.16,12.02,11
GTEX,36.95,1.45,4.27,10.21,11.55
GTEX,36.83,2.32,7.77,9.69,12.52
GTEX,36.83,2.14,2.85,11.61,14.45
GTEX,36.83,1.73,12.15,8.29,10.15
GTEX,36.82,1.65,6.75,8.59,13.27
GTEX,36.75,1.22,1.17,9.83,14.61
GTEX,36.69,5.78,12.6,6.61,10.2
GTEX,36.68,3.11,4.92,11.45,14.66
GTEX,36.59,1.19,6.26,7.74,14.49
GTEX,36.58,1.67,3.19,8.69,11.44
GTEX,36.51,2.01,5.12,11.12,14.6
GTEX,36.47,3.18,14.6,3.48,5.57
GTEX,36.47,2.03,14.31,7.96,10.66
GTEX,36.45,1.7,5.96,8.35,8.97
GTEX,36.42,1.22,7.5,8.62,11.27
GTEX,36.41,0.71,6.07,11.51,15.27
GTEX,36.39,1.41,5.68,9.89,14.43
GTEX,36.38,1.99,4.17,12.18,12.53
GTEX,36.36,1.18,5.42,9.44,11.37
GTEX,36.35,2.73,4.52,10.55,12.49
GTEX,36.35,1,5.12,11.83,17.57
GTEX,36.34,1.84,8.24,10.45,12.82
GTEX,36.32,3.4,4.61,12.59,11.26
GTEX,36.31,3.04,6.37,13.46,13.89
GTEX,36.31,1.98,8.33,11.95,15.67
GTEX,36.29,1.82,9.9,9.57,10.63
GTEX,36.11,3.18,10.48,9.7,10.68
GTEX,36.1,2.84,11.15,9.1,9.68
GTEX,36.1,1.25,7.82,11.03,11.95
GTEX,36.03,4.57,10.89,9.99,9.73
GTEX,35.92,1.51,5.83,12.28,13.74
GTEX,35.85,3.37,6.1,9.84,15.05
GTEX,35.84,1.45,8.85,9.24,16.65
GTEX,35.79,1.89,8.41,8.55,12.08
GTEX,35.73,3.12,6.82,12.16,11.66
GTEX,35.69,1.68,5.37,9.92,11.28
GTEX,35.61,5.25,7.9,13.89,10.67
GTEX,35.6,5.79,3.32,9.92,12.99
GTEX,35.56,2.71,11.71,8.16,8.72
GTEX,35.56,2.07,7.36,8.84,13.9
GTEX,35.55,3.05,10.13,9.87,11.29
GTEX,35.55,3.03,6.07,9.45,11.61
GTEX,35.55,2.88,8.36,9.92,11.36
GTEX,35.51,3.79,10.88,11.37,11.32
GTEX,35.49,2.6,7.15,9.73,12.43
GTEX,35.49,1.33,12.25,6.07,9.71
GTEX,35.48,2.35,7.68,14.28,10.01
GTEX,35.47,1.13,8.9,10.86,16.27
GTEX,35.35,2.24,4.5,10.52,13.02
GTEX,35.34,2.03,9.94,7.96,11.58
GTEX,35.32,1.36,4.65,12.89,15.44
GTEX,35.3,2.68,9.36,9.99,13.19
GTEX,35.28,2.71,5.79,9.48,11.49
GTEX,35.27,1.86,4.52,10.6,10.8
GTEX,35.27,1.08,9.69,5.17,10.2
GTEX,35.26,1.75,6.78,7.96,12.28
GTEX,35.26,1.05,4.42,9.34,13.7
GTEX,35.24,3.39,6.93,10.48,9.94
GTEX,35.18,2.56,8.73,12.37,12.61
GTEX,35.17,2.08,11,11.66,9.67
GTEX,35.15,3.78,11.32,9.02,9.21
GTEX,35.09,1.3,13.32,9.26,8.62
GTEX,35.07,2.2,8.98,10.12,11.54
GTEX,35.03,1.37,8.31,8.4,13.71
GTEX,35.01,2.94,10.33,9.56,10.11
GTEX,34.98,3.71,10.76,7.98,7.01
GTEX,34.96,9.4,7.03,4.48,4.28
GTEX,34.96,2.61,6.85,9.92,13.74
GTEX,34.96,1.75,4.79,13.29,13.34
GTEX,34.92,1.03,11.02,8.7,14.3
GTEX,34.89,1.53,3.89,13.45,13.63
GTEX,34.87,0.97,4.57,7.79,12.29
GTEX,34.82,1.54,10.74,5.98,8.68
GTEX,34.77,1.83,5.89,8.23,13.88
GTEX,34.76,0.91,3.19,13.19,15.89
GTEX,34.74,2.47,4.46,12.05,14.36
GTEX,34.74,1.48,7.03,11.09,14.09
GTEX,34.73,3.03,6.02,8.46,12.01
GTEX,34.73,1.59,6.08,11.53,11.67
GTEX,34.7,1.37,8.04,9.82,11.88
GTEX,34.7,1.04,5.55,11.71,12.99
GTEX,34.64,1.6,0,11.73,12.49
GTEX,34.58,2.88,9.01,7.53,12.58
GTEX,34.54,2.23,4.97,11.77,12.98
GTEX,34.5,1.74,4.87,12.88,14.96
GTEX,34.49,1.42,8.3,11.52,12.77
GTEX,34.45,2,1.47,14.05,13.43
GTEX,34.32,3.06,10.61,8.74,11.17
GTEX,34.27,3.3,14.44,7.22,7.49
GTEX,34.2,3.61,7.46,11.81,14.04
GTEX,34.2,2.73,8.43,9.99,13.79
GTEX,34.19,1.25,4.22,9.62,12.46
GTEX,34.18,3.22,4.76,10.38,11.09
GTEX,34.18,2.1,9.48,9.79,8.3
GTEX,34.18,1.99,8.92,11.5,14.92
GTEX,34.12,1.47,4.65,11.66,13.04
GTEX,34.11,3.15,7.23,9.39,11.98
GTEX,34.11,2.2,5.49,9.9,13.28
GTEX,34.06,2.23,6.95,8.87,10.96
GTEX,33.99,1.94,7.48,10.56,15.09
GTEX,33.97,2.2,4.86,11.27,14.16
GTEX,33.95,3.47,6.71,11.52,12.38
GTEX,33.94,1.4,8.72,11.51,11.79
GTEX,33.93,1.18,9.19,10.46,10.94
GTEX,33.92,5.18,13.89,5.15,7.93
GTEX,33.85,2.33,15.39,7.43,10.77
GTEX,33.85,1.53,7.95,8.13,11.27
GTEX,33.84,2.67,8.71,11.28,12.07
GTEX,33.78,1.9,5.8,9.27,13.09
GTEX,33.7,3.99,10.37,10.9,7.39
GTEX,33.67,2.35,8.44,13.97,12.16
GTEX,33.65,3.73,7.88,7.2,12.21
GTEX,33.57,1.35,6.72,9.48,12.94
GTEX,33.56,5.9,5.23,13.98,13.15
GTEX,33.56,4.26,2.15,11.76,14.2
GTEX,33.54,0.72,5.41,10.58,11.59
GTEX,33.48,1.99,8.74,9.68,12.45
GTEX,33.47,1.22,5.97,10.45,13.11
GTEX,33.47,0.8,7.27,12.05,15.2
GTEX,33.45,2.28,4.52,12.76,12.79
GTEX,33.42,2.31,7.08,12.02,14.78
GTEX,33.41,1.02,9.27,9.4,13.5
GTEX,33.36,2.61,13.45,9.23,12.77
GTEX,33.36,1.61,9.6,8.92,11.84
GTEX,33.35,1.12,9.11,14.67,14.23
GTEX,33.26,1.07,7.42,9.74,16.63
GTEX,33.22,1.32,9.32,10.9,13.24
GTEX,33.21,1.61,3.84,16.68,16.67
GTEX,33.17,2.19,6.17,10.39,13.78
GTEX,33.17,1.79,9.6,14.55,13.63
GTEX,33.16,1.55,7.37,10.33,14.82
GTEX,33.12,3.44,8.51,12.21,11.96
GTEX,33.1,2.08,11.58,13.04,10.11
GTEX,33.07,2.35,8.15,11.3,13.7
GTEX,33.07,2.14,10.58,6.68,10.32
GTEX,33.06,5.45,21.28,7.09,10.02
GTEX,33.06,3.13,6.4,13.3,11.48
GTEX,32.99,1.83,7.9,9.08,14.41
GTEX,32.99,1.32,7.47,10.89,14.4
GTEX,32.97,2.21,13.73,10.75,10
GTEX,32.91,2.5,7.01,9.43,12.87
GTEX,32.88,2.14,4.2,12.01,12.25
GTEX,32.86,3.71,6.78,14.3,14.08
GTEX,32.85,1.36,7.71,13.5,13.56
GTEX,32.78,2.84,7.35,8.67,12.41
GTEX,32.77,4,8.37,9.47,11.18
GTEX,32.76,2.67,7.6,11.82,13.07
GTEX,32.76,1.84,3.31,14.46,15.29
GTEX,32.76,1.12,5.36,10.12,12.48
GTEX,32.75,2.29,8.33,8.91,7.66
GTEX,32.74,1.17,7.1,11.67,15.78
GTEX,32.73,2.48,8.42,10.47,12.52
GTEX,32.7,1.63,7.2,11.21,13.51
GTEX,32.7,1.6,7.87,10.41,15.15
GTEX,32.68,2.16,6.4,12.05,12.97
GTEX,32.64,3.78,9.93,10.1,9.63
GTEX,32.56,0.79,8.16,9.37,13.1
GTEX,32.55,2.93,10.6,10.84,9.71
GTEX,32.55,1.95,3.76,12.44,14.51
GTEX,32.54,2.68,7.42,10.93,12.76
GTEX,32.54,2.66,6.95,11.86,12.83
GTEX,32.54,1.56,8.02,9.11,13.87
GTEX,32.53,2.91,12.02,10.61,10.31
GTEX,32.53,1.02,3.5,11.73,12.9
GTEX,32.5,3.03,8.4,10.29,14.04
GTEX,32.49,1.46,6.33,9.36,15.48
GTEX,32.46,3.77,11.68,8.18,10.29
GTEX,32.43,5.9,19.8,5.54,3.64
GTEX,32.37,3.85,11.12,8.94,6.08
GTEX,32.37,2.77,7.41,10.63,13.43
GTEX,32.34,2.59,14.2,8.78,10.7
GTEX,32.33,1.42,7.17,12.69,14.38
GTEX,32.3,1.81,4.33,10.66,12.41
GTEX,32.29,3.79,9.67,11.36,9.57
GTEX,32.25,0.8,8.48,11.19,13.39
GTEX,32.2,2.7,8.71,13.22,11.73
GTEX,32.18,2.27,11.6,11.45,12.43
GTEX,32.17,4.01,17.57,4.32,7.25
GTEX,32.17,2.82,7.59,10.29,11.39
GTEX,32.15,2.73,8.19,9.82,13.92
GTEX,32.14,1.5,5.88,8.16,12.62
GTEX,32.09,3.22,10.78,9.37,13.24
GTEX,32.09,1.6,15.45,8.86,14.29
GTEX,32.04,1.99,11.53,7.74,10.05
GTEX,32.02,2.31,11.16,9,13.46
GTEX,31.94,1.15,11.63,9.61,11.12
GTEX,31.92,1.05,4.52,11.61,18.95
GTEX,31.91,1.23,10.65,9.62,11.65
GTEX,31.9,2.96,11.84,9.24,12.01
GTEX,31.88,2.46,8.22,10.44,12.9
GTEX,31.88,1.6,7.14,9.08,12.98
GTEX,31.84,2.9,11.12,8.62,14.32
GTEX,31.84,1.44,7.16,8.02,14.26
GTEX,31.78,3.88,5.93,11.12,11.31
GTEX,31.73,2.31,6.62,13.9,11.27
GTEX,31.71,1.46,6.06,11.45,14.47
GTEX,31.7,1.87,4.52,12.43,12.55
GTEX,31.62,1.59,8.06,10.72,13.41
GTEX,31.6,2.3,9.95,9.99,9.43
GTEX,31.58,1.77,6.72,9.73,9.92
GTEX,31.54,2.03,9.23,9.72,11.37
GTEX,31.5,6.14,8.7,8.41,9.34
GTEX,31.5,1.61,8.74,8.52,14.65
GTEX,31.47,2,8.93,11.71,14.07
GTEX,31.42,2.13,8.98,11.53,10.55
